,feature,importance_gain,importance_split,trn_score,run
6,day,464099.7780265808,677,9.41042585532852,14
7,week,210067.6336479187,312,9.41042585532852,14
8,hour,374328.9487838745,563,9.41042585532852,14
9,year,0.0,0,9.41042585532852,14
0,event,268055.70503616333,392,9.416708115596622,15
1,AMOUNT_REQ,611326.8666877747,926,9.416708115596622,15
2,resource,481093.6159133911,708,9.416708115596622,15
3,duration,609505.3595466614,923,9.416708115596622,15
4,allDuration,771580.3948974609,1140,9.416708115596622,15
5,month,186446.8910522461,287,9.416708115596622,15
6,day,476989.1448020935,743,9.416708115596622,15
7,week,183807.17924118042,290,9.416708115596622,15
8,hour,396873.40252685547,591,9.416708115596622,15
9,year,0.0,0,9.416708115596622,15
0,event,271346.1856842041,433,9.423306152918755,16
1,AMOUNT_REQ,602259.0846443176,946,9.423306152918755,16
2,resource,434899.79720687866,669,9.423306152918755,16
3,duration,614257.9728012085,923,9.423306152918755,16
4,allDuration,767097.0781326294,1127,9.423306152918755,16
5,month,186081.73458862305,278,9.423306152918755,16
6,day,496607.0960884094,728,9.423306152918755,16
7,week,229871.89317703247,345,9.423306152918755,16
8,hour,349887.97372055054,551,9.423306152918755,16
9,year,0.0,0,9.423306152918755,16
0,event,283672.0925254822,438,9.413864672017334,17
1,AMOUNT_REQ,631236.0775794983,931,9.413864672017334,17
2,resource,479733.8241996765,691,9.413864672017334,17
3,duration,692861.4718284607,987,9.413864672017334,17
4,allDuration,779643.8154830933,1148,9.413864672017334,17
5,month,185072.7226676941,270,9.413864672017334,17
6,day,473790.51612472534,699,9.413864672017334,17
7,week,202309.0105934143,314,9.413864672017334,17
8,hour,336142.2411956787,522,9.413864672017334,17
9,year,0.0,0,9.413864672017334,17
0,event,289490.63439178467,445,9.42262191618542,18
1,AMOUNT_REQ,570101.6978225708,922,9.42262191618542,18
2,resource,448986.5593948364,687,9.42262191618542,18
3,duration,565785.739189148,850,9.42262191618542,18
4,allDuration,755623.9873695374,1122,9.42262191618542,18
5,month,214019.67597961426,337,9.42262191618542,18
6,day,478141.45628738403,749,9.42262191618542,18
7,week,196870.33628082275,313,9.42262191618542,18
8,hour,353746.3800582886,575,9.42262191618542,18
9,year,0.0,0,9.42262191618542,18
0,event,312107.69944763184,458,9.409968239941236,19
1,AMOUNT_REQ,643338.9901008606,948,9.409968239941236,19
2,resource,456902.6688079834,664,9.409968239941236,19
3,duration,581368.0051269531,840,9.409968239941236,19
4,allDuration,851533.1796035767,1213,9.409968239941236,19
5,month,198625.2119140625,287,9.409968239941236,19
6,day,456856.29528045654,711,9.409968239941236,19
7,week,201543.17586898804,299,9.409968239941236,19
8,hour,382766.1583099365,580,9.409968239941236,19
9,year,0.0,0,9.409968239941236,19
0,event,253500.82317352295,380,9.413671519898784,20
1,AMOUNT_REQ,650203.3855133057,968,9.413671519898784,20
2,resource,470726.7582702637,700,9.413671519898784,20
3,duration,623033.2862281799,891,9.413671519898784,20
4,allDuration,792287.6512641907,1082,9.413671519898784,20
5,month,197278.44689178467,323,9.413671519898784,20
6,day,493560.60551071167,747,9.413671519898784,20
7,week,211222.10676956177,346,9.413671519898784,20
8,hour,369251.2543334961,563,9.413671519898784,20
9,year,0.0,0,9.413671519898784,20
0,event,267003.38874816895,398,9.417262992368554,21
1,AMOUNT_REQ,634256.6319313049,952,9.417262992368554,21
2,resource,489795.74937438965,746,9.417262992368554,21
3,duration,610281.3551177979,914,9.417262992368554,21
4,allDuration,690546.3625144958,1037,9.417262992368554,21
5,month,197241.9321899414,290,9.417262992368554,21
6,day,506767.8566093445,758,9.417262992368554,21
7,week,202842.51761245728,311,9.417262992368554,21
8,hour,392219.0614089966,594,9.417262992368554,21
9,year,0.0,0,9.417262992368554,21
0,event,275236.0570297241,393,9.409433803667538,22
1,AMOUNT_REQ,608814.2279014587,885,9.409433803667538,22
2,resource,503700.6904296875,729,9.409433803667538,22
3,duration,604346.3834228516,892,9.409433803667538,22
4,allDuration,881355.5166091919,1234,9.409433803667538,22
5,month,173641.2268218994,275,9.409433803667538,22
6,day,509007.34161376953,730,9.409433803667538,22
7,week,206658.71543121338,322,9.409433803667538,22
8,hour,375457.9970932007,540,9.409433803667538,22
9,year,0.0,0,9.409433803667538,22
0,event,270948.5139503479,412,9.416145820088111,23
1,AMOUNT_REQ,648743.5920753479,989,9.416145820088111,23
2,resource,500459.4811592102,735,9.416145820088111,23
3,duration,575315.8959465027,860,9.416145820088111,23
4,allDuration,705544.8642883301,1022,9.416145820088111,23
5,month,216353.34285354614,320,9.416145820088111,23
6,day,454289.48990249634,696,9.416145820088111,23
7,week,212090.86311340332,326,9.416145820088111,23
8,hour,425201.78914260864,640,9.416145820088111,23
9,year,0.0,0,9.416145820088111,23
0,event,266607.71298599243,411,9.418810839386074,24
1,AMOUNT_REQ,583248.1274642944,943,9.418810839386074,24
2,resource,455876.70111083984,703,9.418810839386074,24
3,duration,613783.4609336853,898,9.418810839386074,24
4,allDuration,774991.5641822815,1117,9.418810839386074,24
5,month,177977.66984558105,277,9.418810839386074,24
6,day,494513.70193099976,764,9.418810839386074,24
7,week,203165.01374816895,318,9.418810839386074,24
8,hour,358341.5215072632,569,9.418810839386074,24
9,year,0.0,0,9.418810839386074,24
0,event,274411.3244895935,385,9.416145022780137,25
1,AMOUNT_REQ,599604.903591156,909,9.416145022780137,25
2,resource,466221.85622406006,705,9.416145022780137,25
3,duration,595476.5851325989,881,9.416145022780137,25
4,allDuration,800341.1767807007,1145,9.416145022780137,25
5,month,221277.4522972107,338,9.416145022780137,25
6,day,536060.7682342529,767,9.416145022780137,25
7,week,227108.00144195557,345,9.416145022780137,25
8,hour,334159.71282196045,525,9.416145022780137,25
9,year,0.0,0,9.416145022780137,25
0,event,279081.56897354126,405,9.410309282697213,26
1,AMOUNT_REQ,628311.5967216492,928,9.410309282697213,26
2,resource,483797.80362319946,722,9.410309282697213,26
3,duration,588058.3523139954,850,9.410309282697213,26
4,allDuration,779532.8295326233,1150,9.410309282697213,26
5,month,211306.45736694336,308,9.410309282697213,26
6,day,539758.1331291199,775,9.410309282697213,26
7,week,211749.96739959717,334,9.410309282697213,26
8,hour,358189.5799560547,528,9.410309282697213,26
9,year,0.0,0,9.410309282697213,26
0,event,280809.3079109192,420,9.416444695197159,27
1,AMOUNT_REQ,598767.5335617065,907,9.416444695197159,27
2,resource,484626.952129364,751,9.416444695197159,27
3,duration,597896.2982521057,870,9.416444695197159,27
4,allDuration,738632.3888549805,1072,9.416444695197159,27
5,month,201067.58477401733,306,9.416444695197159,27
6,day,484751.66401290894,719,9.416444695197159,27
7,week,255304.42655944824,388,9.416444695197159,27
8,hour,381550.5072479248,567,9.416444695197159,27
9,year,0.0,0,9.416444695197159,27
0,event,302273.9140930176,451,9.41246722077797,28
1,AMOUNT_REQ,616477.3525390625,938,9.41246722077797,28
2,resource,469293.8733596802,684,9.41246722077797,28
3,duration,581015.3161888123,838,9.41246722077797,28
4,allDuration,845730.8981933594,1189,9.41246722077797,28
5,month,216828.8536376953,302,9.41246722077797,28
6,day,481073.1731185913,712,9.41246722077797,28
7,week,221059.97143554688,334,9.41246722077797,28
8,hour,365627.7315711975,552,9.41246722077797,28
9,year,0.0,0,9.41246722077797,28
0,event,321159.7023010254,456,9.4083324750156,29
1,AMOUNT_REQ,661314.1046943665,954,9.4083324750156,29
2,resource,467028.66609954834,669,9.4083324750156,29
3,duration,627378.3805809021,860,9.4083324750156,29
4,allDuration,776251.5382652283,1065,9.4083324750156,29
5,month,217741.7347755432,313,9.4083324750156,29
6,day,480161.312789917,730,9.4083324750156,29
7,week,245180.80443954468,366,9.4083324750156,29
8,hour,391500.2433128357,587,9.4083324750156,29
9,year,0.0,0,9.4083324750156,29
0,event,301186.8861465454,438,9.415757304150258,30
1,AMOUNT_REQ,625169.269908905,951,9.415757304150258,30
2,resource,431166.42586517334,634,9.415757304150258,30
3,duration,688306.3190689087,991,9.415757304150258,30
4,allDuration,745217.9433822632,1099,9.415757304150258,30
5,month,198739.81922149658,277,9.415757304150258,30
6,day,467283.819770813,713,9.415757304150258,30
7,week,215750.29224777222,346,9.415757304150258,30
8,hour,367791.51527404785,551,9.415757304150258,30
9,year,0.0,0,9.415757304150258,30
0,event,293575.78732299805,455,9.419850298480055,31
1,AMOUNT_REQ,590292.232761383,907,9.419850298480055,31
2,resource,423654.7901802063,668,9.419850298480055,31
3,duration,625345.3473434448,938,9.419850298480055,31
4,allDuration,714333.592048645,1093,9.419850298480055,31
5,month,205905.66064453125,310,9.419850298480055,31
6,day,495718.5199165344,754,9.419850298480055,31
7,week,193876.63652038574,332,9.419850298480055,31
8,hour,349967.2238044739,543,9.419850298480055,31
9,year,0.0,0,9.419850298480055,31
0,event,296948.018825531,428,9.413643068094158,32
1,AMOUNT_REQ,610577.3799705505,907,9.413643068094158,32
2,resource,472096.93577194214,697,9.413643068094158,32
3,duration,653500.983379364,909,9.413643068094158,32
4,allDuration,792656.5223846436,1132,9.413643068094158,32
5,month,215534.7020263672,300,9.413643068094158,32
6,day,498958.3240585327,737,9.413643068094158,32
7,week,210091.99921035767,316,9.413643068094158,32
8,hour,384152.16829681396,574,9.413643068094158,32
9,year,0.0,0,9.413643068094158,32
0,event,267498.6085510254,398,9.413489178633556,33
1,AMOUNT_REQ,584181.1348762512,876,9.413489178633556,33
2,resource,452901.19440841675,683,9.413489178633556,33
3,duration,641293.8837127686,944,9.413489178633556,33
4,allDuration,795315.0597953796,1126,9.413489178633556,33
5,month,231524.94514465332,342,9.413489178633556,33
6,day,473914.16971206665,702,9.413489178633556,33
7,week,234806.50716400146,360,9.413489178633556,33
8,hour,377528.2972602844,569,9.413489178633556,33
9,year,0.0,0,9.413489178633556,33
0,event,280974.35608673096,416,9.412465928280245,34
1,AMOUNT_REQ,639227.7505264282,965,9.412465928280245,34
2,resource,475400.6823768616,700,9.412465928280245,34
3,duration,606911.367805481,883,9.412465928280245,34
4,allDuration,796127.522151947,1135,9.412465928280245,34
5,month,184740.34588241577,296,9.412465928280245,34
6,day,474997.98668289185,705,9.412465928280245,34
7,week,260026.15112686157,362,9.412465928280245,34
8,hour,352561.56563568115,538,9.412465928280245,34
9,year,0.0,0,9.412465928280245,34
0,event,274313.8325691223,424,9.420336523274452,35
1,AMOUNT_REQ,609458.9261779785,964,9.420336523274452,35
2,resource,447417.12215805054,699,9.420336523274452,35
3,duration,572940.5899658203,853,9.420336523274452,35
4,allDuration,756468.7396888733,1124,9.420336523274452,35
5,month,212095.1400604248,323,9.420336523274452,35
6,day,469980.59349823,728,9.420336523274452,35
7,week,208807.64820861816,317,9.420336523274452,35
8,hour,355559.1106529236,568,9.420336523274452,35
9,year,0.0,0,9.420336523274452,35
0,event,280145.9949760437,438,9.418512116700766,36
1,AMOUNT_REQ,636301.3145027161,948,9.418512116700766,36
2,resource,467685.69886398315,690,9.418512116700766,36
3,duration,607825.7518043518,908,9.418512116700766,36
4,allDuration,726982.6920127869,1093,9.418512116700766,36
5,month,202547.9030380249,297,9.418512116700766,36
6,day,475488.25813674927,707,9.418512116700766,36
7,week,200071.64335632324,316,9.418512116700766,36
8,hour,398360.5046043396,603,9.418512116700766,36
9,year,0.0,0,9.418512116700766,36
0,event,260181.52489471436,385,9.417620746299924,37
1,AMOUNT_REQ,617389.4232139587,943,9.417620746299924,37
2,resource,455848.77545547485,728,9.417620746299924,37
3,duration,536806.1226825714,814,9.417620746299924,37
4,allDuration,740629.2178993225,1099,9.417620746299924,37
5,month,230797.01447296143,353,9.417620746299924,37
6,day,514019.2389602661,749,9.417620746299924,37
7,week,227860.22080230713,362,9.417620746299924,37
8,hour,371987.08389282227,567,9.417620746299924,37
9,year,0.0,0,9.417620746299924,37
0,event,245815.59016799927,388,9.414239127945535,38
1,AMOUNT_REQ,651678.4127998352,971,9.414239127945535,38
2,resource,428796.8825645447,634,9.414239127945535,38
3,duration,550392.8980522156,775,9.414239127945535,38
4,allDuration,801465.3075523376,1110,9.414239127945535,38
5,month,199752.38745498657,309,9.414239127945535,38
6,day,553662.9968414307,812,9.414239127945535,38
7,week,219977.78232955933,356,9.414239127945535,38
8,hour,419335.99055480957,645,9.414239127945535,38
9,year,0.0,0,9.414239127945535,38
0,event,278203.20251464844,434,9.422090889669088,39
1,AMOUNT_REQ,633986.1635398865,978,9.422090889669088,39
2,resource,439941.4466018677,691,9.422090889669088,39
3,duration,562765.3353881836,840,9.422090889669088,39
4,allDuration,736773.8362083435,1082,9.422090889669088,39
5,month,195583.89892196655,322,9.422090889669088,39
6,day,477678.4203186035,725,9.422090889669088,39
7,week,228700.65830993652,360,9.422090889669088,39
8,hour,380683.7279434204,568,9.422090889669088,39
9,year,0.0,0,9.422090889669088,39
0,event,329093.20293045044,482,9.420009639195877,40
1,AMOUNT_REQ,573346.790184021,910,9.420009639195877,40
2,resource,482148.22885894775,733,9.420009639195877,40
3,duration,603875.0926055908,863,9.420009639195877,40
4,allDuration,688172.439289093,1057,9.420009639195877,40
5,month,184832.2951812744,298,9.420009639195877,40
6,day,495337.42600250244,748,9.420009639195877,40
7,week,219758.05096435547,328,9.420009639195877,40
8,hour,389591.30501937866,581,9.420009639195877,40
9,year,0.0,0,9.420009639195877,40
0,event,311869.97608947754,452,9.412151051798954,41
1,AMOUNT_REQ,636633.4012031555,969,9.412151051798954,41
2,resource,485926.3995895386,703,9.412151051798954,41
3,duration,658264.2264709473,922,9.412151051798954,41
4,allDuration,770021.3087425232,1093,9.412151051798954,41
5,month,212276.44319152832,300,9.412151051798954,41
6,day,452184.10371017456,679,9.412151051798954,41
7,week,230069.9405822754,334,9.412151051798954,41
8,hour,374859.80184555054,548,9.412151051798954,41
9,year,0.0,0,9.412151051798954,41
0,event,268843.21462249756,411,9.419130017314355,42
1,AMOUNT_REQ,621110.0560722351,942,9.419130017314355,42
2,resource,453174.4878997803,692,9.419130017314355,42
3,duration,563058.4781684875,833,9.419130017314355,42
4,allDuration,798130.8738861084,1148,9.419130017314355,42
5,month,183487.0380821228,284,9.419130017314355,42
6,day,532111.8800926208,801,9.419130017314355,42
7,week,215146.49243545532,331,9.419130017314355,42
8,hour,369440.4881820679,557,9.419130017314355,42
9,year,174.80799865722656,1,9.419130017314355,42
0,event,282026.83071136475,426,9.415534945576693,43
1,AMOUNT_REQ,605842.9834480286,906,9.415534945576693,43
2,resource,467241.2735824585,678,9.415534945576693,43
3,duration,606162.1282958984,851,9.415534945576693,43
4,allDuration,800902.2716522217,1135,9.415534945576693,43
5,month,201439.25401306152,308,9.415534945576693,43
6,day,501990.4013404846,732,9.415534945576693,43
7,week,226879.81847000122,345,9.415534945576693,43
8,hour,409002.1831626892,619,9.415534945576693,43
9,year,0.0,0,9.415534945576693,43
0,event,279673.285282135,405,9.408950846198598,44
1,AMOUNT_REQ,627425.4849205017,921,9.408950846198598,44
2,resource,475690.32580566406,675,9.408950846198598,44
3,duration,622603.5669631958,900,9.408950846198598,44
4,allDuration,806467.9874343872,1139,9.408950846198598,44
5,month,200255.0906829834,298,9.408950846198598,44
6,day,506969.67724609375,747,9.408950846198598,44
7,week,233779.67219543457,359,9.408950846198598,44
8,hour,370845.8482208252,556,9.408950846198598,44
9,year,0.0,0,9.408950846198598,44
0,event,264436.5284919739,384,9.416836658926838,45
1,AMOUNT_REQ,600536.6536979675,906,9.416836658926838,45
2,resource,506057.6460456848,759,9.416836658926838,45
3,duration,623170.0985412598,906,9.416836658926838,45
4,allDuration,798721.9843139648,1146,9.416836658926838,45
5,month,201177.0750656128,311,9.416836658926838,45
6,day,466187.3487548828,700,9.416836658926838,45
7,week,215659.49166870117,330,9.416836658926838,45
8,hour,359764.92012405396,558,9.416836658926838,45
9,year,0.0,0,9.416836658926838,45
0,event,269666.6930809021,416,9.418070838186106,46
1,AMOUNT_REQ,615140.0531578064,956,9.418070838186106,46
2,resource,504171.6867904663,753,9.418070838186106,46
3,duration,666593.1887588501,940,9.418070838186106,46
4,allDuration,694203.9414482117,978,9.418070838186106,46
5,month,199123.0224761963,299,9.418070838186106,46
6,day,512111.6494445801,761,9.418070838186106,46
7,week,200542.2848701477,305,9.418070838186106,46
8,hour,368282.10931015015,592,9.418070838186106,46
9,year,0.0,0,9.418070838186106,46
0,event,261469.6067276001,398,9.419338843203386,47
1,AMOUNT_REQ,549665.0485687256,885,9.419338843203386,47
2,resource,461292.6101989746,707,9.419338843203386,47
3,duration,564412.8110961914,840,9.419338843203386,47
4,allDuration,781419.0447883606,1145,9.419338843203386,47
5,month,223457.71017456055,351,9.419338843203386,47
6,day,486116.09704971313,761,9.419338843203386,47
7,week,210825.43352890015,335,9.419338843203386,47
8,hour,355243.8602333069,578,9.419338843203386,47
9,year,0.0,0,9.419338843203386,47
0,event,283167.0628013611,428,9.418139378583056,48
1,AMOUNT_REQ,627043.3396759033,941,9.418139378583056,48
2,resource,413882.68265914917,653,9.418139378583056,48
3,duration,604514.8502426147,901,9.418139378583056,48
4,allDuration,765587.2078285217,1133,9.418139378583056,48
5,month,189832.78427124023,277,9.418139378583056,48
6,day,499185.19218444824,738,9.418139378583056,48
7,week,208511.48055267334,320,9.418139378583056,48
8,hour,395253.7852859497,609,9.418139378583056,48
9,year,0.0,0,9.418139378583056,48
0,event,256035.26903152466,402,9.423262417628669,49
1,AMOUNT_REQ,589646.4096984863,930,9.423262417628669,49
2,resource,461958.4395637512,712,9.423262417628669,49
3,duration,542041.2157440186,843,9.423262417628669,49
4,allDuration,826522.2561340332,1189,9.423262417628669,49
5,month,202769.164604187,303,9.423262417628669,49
6,day,461146.50650024414,709,9.423262417628669,49
7,week,245364.70470046997,371,9.423262417628669,49
8,hour,321484.91159439087,541,9.423262417628669,49
9,year,0.0,0,9.423262417628669,49
0,event,280802.15869140625,416,9.41517858383378,50
1,AMOUNT_REQ,605089.8433456421,926,9.41517858383378,50
2,resource,496600.59380722046,726,9.41517858383378,50
3,duration,592449.5891075134,866,9.41517858383378,50
4,allDuration,789543.3306770325,1112,9.41517858383378,50
5,month,188285.4446334839,295,9.41517858383378,50
6,day,462487.65380477905,691,9.41517858383378,50
7,week,223010.67408370972,343,9.41517858383378,50
8,hour,412604.95527648926,625,9.41517858383378,50
9,year,0.0,0,9.41517858383378,50
0,event,275387.2173423767,416,9.416342808846476,51
1,AMOUNT_REQ,640243.2842063904,983,9.416342808846476,51
2,resource,458150.1364250183,698,9.416342808846476,51
3,duration,607788.5983161926,906,9.416342808846476,51
4,allDuration,750187.8151779175,1072,9.416342808846476,51
5,month,203146.14643478394,329,9.416342808846476,51
6,day,469115.1236076355,711,9.416342808846476,51
7,week,215183.88933181763,338,9.416342808846476,51
8,hour,350987.74854660034,547,9.416342808846476,51
9,year,0.0,0,9.416342808846476,51
0,event,288729.27347946167,436,9.421352348052785,52
1,AMOUNT_REQ,507291.1257362366,843,9.421352348052785,52
2,resource,478856.6831359863,722,9.421352348052785,52
3,duration,608526.4711990356,884,9.421352348052785,52
4,allDuration,769795.4447898865,1115,9.421352348052785,52
5,month,185328.2525177002,293,9.421352348052785,52
6,day,489982.79469680786,744,9.421352348052785,52
7,week,205025.73160934448,317,9.421352348052785,52
8,hour,414626.04541397095,646,9.421352348052785,52
9,year,0.0,0,9.421352348052785,52
0,event,298286.4553909302,455,9.414361901909148,53
1,AMOUNT_REQ,607996.500907898,945,9.414361901909148,53
2,resource,480245.05908203125,709,9.414361901909148,53
3,duration,590905.5879249573,856,9.414361901909148,53
4,allDuration,761970.5377883911,1070,9.414361901909148,53
5,month,178189.2254638672,283,9.414361901909148,53
6,day,481059.5137939453,751,9.414361901909148,53
7,week,208015.49599075317,327,9.414361901909148,53
8,hour,397525.1954574585,604,9.414361901909148,53
9,year,0.0,0,9.414361901909148,53
0,event,291161.7345161438,445,9.42013540299913,54
1,AMOUNT_REQ,611844.4449882507,930,9.42013540299913,54
2,resource,470751.2966003418,739,9.42013540299913,54
3,duration,590227.3411178589,865,9.42013540299913,54
4,allDuration,731892.8743934631,1063,9.42013540299913,54
5,month,213144.45949172974,322,9.42013540299913,54
